(node:18892) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/viewAsProjectionClient.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1760ms

○ Compiling /captain-dashboard ...
 GET /api/notification-templates?template_key=player_login_popup 200 in 1392ms (next.js: 1337ms, proxy.ts: 17ms, application-code: 38ms)
 GET /api/system-settings 200 in 1385ms (next.js: 1327ms, proxy.ts: 18ms, application-code: 41ms)
 GET /api/notification-template-history 200 in 3.5s (next.js: 3.2s, proxy.ts: 164ms, application-code: 132ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 3.3s (next.js: 50ms, proxy.ts: 3.2s, application-code: 90ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 3.3s (next.js: 58ms, proxy.ts: 3.2s, application-code: 87ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 3.3s (next.js: 68ms, proxy.ts: 3.2s, application-code: 104ms)
 GET /api/system-settings 200 in 387ms (next.js: 29ms, proxy.ts: 291ms, application-code: 66ms)
 POST /api/match-setup-reminders 200 in 3.5s (next.js: 3.2s, proxy.ts: 166ms, application-code: 178ms)
 GET /api/system-settings 200 in 3.3s (next.js: 356ms, proxy.ts: 2.8s, application-code: 88ms)
 GET /api/system-settings 200 in 77ms (next.js: 14ms, proxy.ts: 50ms, application-code: 13ms)
 GET /members 200 in 3.4s (next.js: 2.8s, proxy.ts: 29ms, application-code: 551ms)
 GET /captain-dashboard 200 in 211ms (next.js: 60ms, proxy.ts: 8ms, application-code: 143ms)
 GET /api/system-settings 200 in 92ms (next.js: 34ms, proxy.ts: 34ms, application-code: 24ms)
 GET /api/system-settings 200 in 2.7s (next.js: 2.6s, proxy.ts: 24ms, application-code: 90ms)
 GET /api/admin/member-directory?mode=members&page=1&pageSize=100&search=&includeInactive=false&currentRosterOnly=false&sort=member&direction=asc 500 in 2.8s (next.js: 2.6s, proxy.ts: 21ms, application-code: 115ms)
 GET /api/system-settings 200 in 321ms (next.js: 14ms, proxy.ts: 288ms, application-code: 19ms)
 GET /api/system-settings 200 in 3.1s (next.js: 1296ms, proxy.ts: 1779ms, application-code: 33ms)
 GET /api/system-settings 200 in 1441ms (next.js: 13ms, proxy.ts: 1415ms, application-code: 13ms)
 GET /api/system-settings 200 in 59ms (next.js: 16ms, proxy.ts: 26ms, application-code: 17ms)
 GET /api/system-settings 200 in 52ms (next.js: 10ms, proxy.ts: 34ms, application-code: 8ms)
 GET /members/10000000-0000-4000-8000-000000000002 200 in 4.6s (next.js: 4.0s, proxy.ts: 288ms, application-code: 306ms)
 GET /captain-dashboard 200 in 241ms (next.js: 45ms, proxy.ts: 13ms, application-code: 184ms)
 GET /api/system-settings 200 in 32ms (next.js: 3ms, proxy.ts: 15ms, application-code: 14ms)
 GET /api/system-settings 200 in 24ms (next.js: 3ms, proxy.ts: 11ms, application-code: 9ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000002 200 in 799ms (next.js: 763ms, proxy.ts: 6ms, application-code: 30ms)
 GET /api/system-settings 200 in 44ms (next.js: 16ms, proxy.ts: 16ms, application-code: 12ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 83ms (next.js: 21ms, proxy.ts: 28ms, application-code: 34ms)
