(node:4180) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/viewAsProjectionClient.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1839ms

○ Compiling /view-as-test ...
 GET /api/system-settings 200 in 24ms (next.js: 6ms, proxy.ts: 10ms, application-code: 9ms)
 GET /scheduling 200 in 1198ms (next.js: 1018ms, proxy.ts: 8ms, application-code: 172ms)
 GET /api/system-settings 200 in 118ms (next.js: 64ms, proxy.ts: 11ms, application-code: 43ms)
 GET /api/system-settings 200 in 31ms (next.js: 6ms, proxy.ts: 16ms, application-code: 10ms)
 GET /api/system-settings 200 in 39ms (next.js: 8ms, proxy.ts: 19ms, application-code: 12ms)
 GET /matches 307 in 2.2s (next.js: 1810ms, proxy.ts: 6ms, application-code: 365ms)
 GET /scoring 200 in 2.1s (next.js: 1911ms, proxy.ts: 8ms, application-code: 169ms)
 GET /api/system-settings 200 in 88ms (next.js: 43ms, proxy.ts: 11ms, application-code: 35ms)
 GET /api/notification-templates?template_key=score_reminder 200 in 100ms (next.js: 62ms, proxy.ts: 11ms, application-code: 27ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 7ms, application-code: 10ms)
 GET /api/system-settings 200 in 197ms (next.js: 170ms, proxy.ts: 17ms, application-code: 9ms)
 GET /standings 200 in 2.2s (next.js: 2.1s, proxy.ts: 8ms, application-code: 182ms)
 GET /api/system-settings 200 in 62ms (next.js: 42ms, proxy.ts: 6ms, application-code: 14ms)
 GET /api/system-settings 200 in 23ms (next.js: 6ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/system-settings 200 in 21ms (next.js: 2ms, proxy.ts: 8ms, application-code: 10ms)
 GET /api/system-settings 200 in 25ms (next.js: 3ms, proxy.ts: 13ms, application-code: 9ms)
 GET /ratings 200 in 1253ms (next.js: 1081ms, proxy.ts: 5ms, application-code: 166ms)
 GET /api/system-settings 200 in 58ms (next.js: 38ms, proxy.ts: 7ms, application-code: 12ms)
 GET /api/system-settings 200 in 20ms (next.js: 5ms, proxy.ts: 7ms, application-code: 8ms)
 GET /api/system-settings 200 in 23ms (next.js: 5ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 8ms, application-code: 9ms)
 GET /view-as-test?member=7 200 in 74ms (next.js: 23ms, proxy.ts: 7ms, application-code: 44ms)
 GET /api/system-settings 200 in 17ms (next.js: 3ms, proxy.ts: 8ms, application-code: 6ms)
 GET /api/system-settings 200 in 46ms (next.js: 23ms, proxy.ts: 8ms, application-code: 16ms)
 GET /api/view-as/start 200 in 49ms (next.js: 8ms, proxy.ts: 8ms, application-code: 32ms)
 GET /api/view-as/start 200 in 54ms (next.js: 17ms, proxy.ts: 8ms, application-code: 29ms)
 GET / 200 in 246ms (next.js: 33ms, proxy.ts: 7ms, application-code: 206ms)
 GET /api/system-settings 200 in 20ms (next.js: 2ms, proxy.ts: 6ms, application-code: 12ms)
 GET /api/system-settings 200 in 18ms (next.js: 5ms, proxy.ts: 7ms, application-code: 7ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 68ms (next.js: 5ms, proxy.ts: 9ms, application-code: 54ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 78ms (next.js: 48ms, proxy.ts: 9ms, application-code: 21ms)
 GET /api/notification-template-history 200 in 46ms (next.js: 12ms, proxy.ts: 14ms, application-code: 19ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 118ms (next.js: 16ms, proxy.ts: 21ms, application-code: 81ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 122ms (next.js: 4ms, proxy.ts: 21ms, application-code: 97ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 124ms (next.js: 22ms, proxy.ts: 21ms, application-code: 81ms)
 POST /api/match-setup-reminders 200 in 134ms (next.js: 53ms, proxy.ts: 23ms, application-code: 58ms)
 GET /members 200 in 85ms (next.js: 30ms, proxy.ts: 5ms, application-code: 51ms)
 GET /api/system-settings 200 in 16ms (next.js: 3ms, proxy.ts: 5ms, application-code: 9ms)
 GET /api/system-settings 200 in 29ms (next.js: 3ms, proxy.ts: 8ms, application-code: 17ms)
 GET /api/admin/member-directory?mode=members&page=1&pageSize=100&search=&includeInactive=false&currentRosterOnly=false&sort=member&direction=asc 500 in 34ms (next.js: 13ms, proxy.ts: 8ms, application-code: 14ms)
 GET /api/system-settings 200 in 24ms (next.js: 4ms, proxy.ts: 7ms, application-code: 13ms)
 GET /api/system-settings 200 in 35ms (next.js: 8ms, proxy.ts: 11ms, application-code: 16ms)
 GET /teams 200 in 82ms (next.js: 26ms, proxy.ts: 11ms, application-code: 46ms)
 GET /api/system-settings 200 in 28ms (next.js: 3ms, proxy.ts: 8ms, application-code: 18ms)
 GET /api/system-settings 200 in 22ms (next.js: 4ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/system-settings 200 in 28ms (next.js: 7ms, proxy.ts: 9ms, application-code: 12ms)
 GET /api/system-settings 200 in 23ms (next.js: 4ms, proxy.ts: 8ms, application-code: 11ms)
 GET /view-as-test?member=1 200 in 92ms (next.js: 4ms, proxy.ts: 5ms, application-code: 82ms)
 GET /api/system-settings 200 in 28ms (next.js: 5ms, proxy.ts: 9ms, application-code: 14ms)
 GET /api/view-as/start 403 in 48ms (next.js: 4ms, proxy.ts: 8ms, application-code: 36ms)
 GET /api/view-as/start 403 in 52ms (next.js: 10ms, proxy.ts: 8ms, application-code: 33ms)
 GET /api/system-settings 200 in 52ms (next.js: 10ms, proxy.ts: 25ms, application-code: 18ms)
 GET /player-dashboard 200 in 2.1s (next.js: 1813ms, proxy.ts: 6ms, application-code: 293ms)
 GET /api/system-settings 200 in 70ms (next.js: 44ms, proxy.ts: 10ms, application-code: 16ms)
 GET /api/system-settings 200 in 31ms (next.js: 3ms, proxy.ts: 17ms, application-code: 12ms)
 GET /view-as-test?member=2 200 in 194ms (next.js: 124ms, proxy.ts: 7ms, application-code: 62ms)
 GET /api/system-settings 200 in 35ms (next.js: 4ms, proxy.ts: 14ms, application-code: 17ms)
 GET /api/view-as/start 403 in 59ms (next.js: 12ms, proxy.ts: 11ms, application-code: 36ms)
 GET /api/view-as/start 403 in 61ms (next.js: 19ms, proxy.ts: 11ms, application-code: 31ms)
 GET /api/system-settings 200 in 58ms (next.js: 9ms, proxy.ts: 34ms, application-code: 15ms)
 GET /captain-dashboard 200 in 3.0s (next.js: 2.8s, proxy.ts: 11ms, application-code: 189ms)
 GET /api/system-settings 200 in 75ms (next.js: 39ms, proxy.ts: 19ms, application-code: 17ms)
 GET /api/system-settings 200 in 23ms (next.js: 3ms, proxy.ts: 10ms, application-code: 10ms)
 GET /api/system-settings 200 in 18ms (next.js: 6ms, proxy.ts: 6ms, application-code: 6ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 6.1s (next.js: 6.0s, proxy.ts: 8ms, application-code: 130ms)
 GET /api/system-settings 200 in 51ms (next.js: 31ms, proxy.ts: 6ms, application-code: 14ms)
 GET /api/system-settings 200 in 16ms (next.js: 1974µs, proxy.ts: 9ms, application-code: 5ms)
 GET /api/system-settings 200 in 25ms (next.js: 5ms, proxy.ts: 11ms, application-code: 9ms)
 GET /api/system-settings 200 in 25ms (next.js: 4ms, proxy.ts: 9ms, application-code: 13ms)
 GET /view-as-test?member=3 200 in 67ms (next.js: 17ms, proxy.ts: 5ms, application-code: 45ms)
 GET /api/system-settings 200 in 39ms (next.js: 5ms, proxy.ts: 13ms, application-code: 20ms)
 GET /api/view-as/start 403 in 62ms (next.js: 11ms, proxy.ts: 11ms, application-code: 40ms)
 GET /api/system-settings 200 in 59ms (next.js: 18ms, proxy.ts: 26ms, application-code: 15ms)
 GET /api/view-as/start 403 in 69ms (next.js: 22ms, proxy.ts: 11ms, application-code: 36ms)
 GET /captain-dashboard 200 in 96ms (next.js: 22ms, proxy.ts: 8ms, application-code: 66ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 11ms, application-code: 8ms)
 GET /api/system-settings 200 in 20ms (next.js: 2ms, proxy.ts: 7ms, application-code: 11ms)
 GET /api/system-settings 200 in 19ms (next.js: 3ms, proxy.ts: 8ms, application-code: 7ms)
 GET /view-as-test?member=5 200 in 50ms (next.js: 2ms, proxy.ts: 7ms, application-code: 41ms)
 GET /api/system-settings 200 in 32ms (next.js: 4ms, proxy.ts: 11ms, application-code: 17ms)
 GET /api/view-as/start 403 in 46ms (next.js: 3ms, proxy.ts: 12ms, application-code: 32ms)
 GET /api/system-settings 200 in 41ms (next.js: 16ms, proxy.ts: 16ms, application-code: 9ms)
 GET /api/view-as/start 403 in 56ms (next.js: 15ms, proxy.ts: 12ms, application-code: 29ms)
 GET /captain-dashboard 200 in 54ms (next.js: 7ms, proxy.ts: 5ms, application-code: 42ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 9ms, application-code: 9ms)
 GET /api/system-settings 200 in 22ms (next.js: 3ms, proxy.ts: 8ms, application-code: 11ms)
 GET /api/system-settings 200 in 26ms (next.js: 4ms, proxy.ts: 11ms, application-code: 11ms)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1871ms

○ Compiling /captain-dashboard ...
 GET /captain-dashboard 200 in 7.6s (next.js: 7.0s, proxy.ts: 231ms, application-code: 353ms)
○ Compiling /api/system-settings ...
 GET /api/system-settings 200 in 3.7s (next.js: 3.6s, proxy.ts: 24ms, application-code: 57ms)
 GET /api/system-settings 200 in 504ms (next.js: 83ms, proxy.ts: 385ms, application-code: 36ms)
 GET /captain-dashboard 200 in 1565ms (next.js: 190ms, proxy.ts: 1174ms, application-code: 201ms)
 GET /view-as-test?member=8 200 in 1889ms (next.js: 1174ms, proxy.ts: 312ms, application-code: 404ms)
 GET /api/system-settings 200 in 32ms (next.js: 9ms, proxy.ts: 11ms, application-code: 12ms)
 GET /api/system-settings 200 in 23ms (next.js: 3ms, proxy.ts: 10ms, application-code: 9ms)
 GET /api/system-settings 200 in 806ms (next.js: 37ms, proxy.ts: 756ms, application-code: 13ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 817ms (next.js: 752ms, proxy.ts: 8ms, application-code: 57ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 820ms (next.js: 752ms, proxy.ts: 8ms, application-code: 60ms)
 GET / 200 in 2.8s (next.js: 2.3s, proxy.ts: 112ms, application-code: 404ms)
 GET /api/system-settings 200 in 76ms (next.js: 50ms, proxy.ts: 8ms, application-code: 17ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 1168ms (next.js: 1125ms, proxy.ts: 17ms, application-code: 26ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 1176ms (next.js: 1125ms, proxy.ts: 17ms, application-code: 34ms)
 GET /api/system-settings 200 in 1167ms (next.js: 1111ms, proxy.ts: 19ms, application-code: 37ms)
 GET /api/notification-template-history 200 in 2.1s (next.js: 935ms, proxy.ts: 1118ms, application-code: 49ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 1072ms (next.js: 21ms, proxy.ts: 1020ms, application-code: 31ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 1074ms (next.js: 29ms, proxy.ts: 1020ms, application-code: 25ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 160ms (next.js: 11ms, proxy.ts: 123ms, application-code: 25ms)
 POST /api/match-setup-reminders 200 in 1239ms (next.js: 1063ms, proxy.ts: 125ms, application-code: 52ms)
 GET /members 200 in 2.9s (next.js: 2.3s, proxy.ts: 138ms, application-code: 497ms)
 GET /api/system-settings 200 in 72ms (next.js: 51ms, proxy.ts: 6ms, application-code: 15ms)
 GET /api/system-settings 200 in 1035ms (next.js: 28ms, proxy.ts: 1002ms, application-code: 6ms)
 GET /api/admin/member-directory?mode=members&page=1&pageSize=100&search=&includeInactive=false&currentRosterOnly=false&sort=member&direction=asc 500 in 1050ms (next.js: 1002ms, proxy.ts: 8ms, application-code: 40ms)
 GET /api/system-settings 200 in 23ms (next.js: 4ms, proxy.ts: 9ms, application-code: 11ms)
 GET /api/system-settings 200 in 31ms (next.js: 4ms, proxy.ts: 13ms, application-code: 14ms)
 GET /members/10000000-0000-4000-8000-000000000002 200 in 3.1s (next.js: 2.8s, proxy.ts: 9ms, application-code: 308ms)
 GET /api/system-settings 200 in 91ms (next.js: 62ms, proxy.ts: 8ms, application-code: 21ms)
 GET /api/system-settings 200 in 1174ms (next.js: 20ms, proxy.ts: 1148ms, application-code: 6ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000002 200 in 1194ms (next.js: 1148ms, proxy.ts: 11ms, application-code: 35ms)
 GET /api/system-settings 200 in 37ms (next.js: 13ms, proxy.ts: 13ms, application-code: 12ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 74ms (next.js: 13ms, proxy.ts: 27ms, application-code: 34ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 76ms (next.js: 16ms, proxy.ts: 38ms, application-code: 22ms)
 GET /api/system-settings 200 in 42ms (next.js: 2ms, proxy.ts: 31ms, application-code: 8ms)
 GET /teams 200 in 1259ms (next.js: 1031ms, proxy.ts: 7ms, application-code: 222ms)
 GET /api/system-settings 200 in 77ms (next.js: 58ms, proxy.ts: 6ms, application-code: 14ms)
 GET /api/system-settings 200 in 19ms (next.js: 4ms, proxy.ts: 8ms, application-code: 8ms)
 GET /api/system-settings 200 in 16ms (next.js: 2ms, proxy.ts: 8ms, application-code: 7ms)
 GET /api/system-settings 200 in 16ms (next.js: 3ms, proxy.ts: 6ms, application-code: 8ms)
 GET /divisions 200 in 981ms (next.js: 768ms, proxy.ts: 5ms, application-code: 208ms)
 GET /api/system-settings 200 in 98ms (next.js: 68ms, proxy.ts: 7ms, application-code: 23ms)
 GET /api/system-settings 200 in 13ms (next.js: 1967µs, proxy.ts: 5ms, application-code: 6ms)
 GET /api/system-settings 200 in 15ms (next.js: 2ms, proxy.ts: 6ms, application-code: 7ms)
 GET /locations 200 in 896ms (next.js: 713ms, proxy.ts: 5ms, application-code: 178ms)
 GET /api/system-settings 200 in 75ms (next.js: 57ms, proxy.ts: 7ms, application-code: 11ms)
 GET /api/system-settings 200 in 16ms (next.js: 2ms, proxy.ts: 9ms, application-code: 5ms)
 GET /api/system-settings 200 in 49ms (next.js: 2ms, proxy.ts: 40ms, application-code: 7ms)
 GET /scheduling 200 in 993ms (next.js: 788ms, proxy.ts: 5ms, application-code: 200ms)
 GET /api/system-settings 200 in 87ms (next.js: 67ms, proxy.ts: 12ms, application-code: 8ms)
 GET /api/system-settings 200 in 13ms (next.js: 1963µs, proxy.ts: 6ms, application-code: 5ms)
 GET /api/system-settings 200 in 19ms (next.js: 3ms, proxy.ts: 8ms, application-code: 8ms)
 GET /matches 307 in 1823ms (next.js: 1596ms, proxy.ts: 5ms, application-code: 222ms)
 GET /scoring 200 in 2.8s (next.js: 2.5s, proxy.ts: 8ms, application-code: 276ms)
 GET /api/system-settings 200 in 131ms (next.js: 92ms, proxy.ts: 11ms, application-code: 28ms)
 GET /api/notification-templates?template_key=score_reminder 200 in 61ms (next.js: 17ms, proxy.ts: 21ms, application-code: 23ms)
 GET /api/system-settings 200 in 53ms (next.js: 8ms, proxy.ts: 37ms, application-code: 7ms)
 GET /api/system-settings 200 in 20ms (next.js: 4ms, proxy.ts: 8ms, application-code: 9ms)
 GET /standings 200 in 2.0s (next.js: 1733ms, proxy.ts: 5ms, application-code: 268ms)
 GET /api/system-settings 200 in 85ms (next.js: 61ms, proxy.ts: 11ms, application-code: 14ms)
 GET /api/system-settings 200 in 18ms (next.js: 2ms, proxy.ts: 8ms, application-code: 8ms)
 GET /api/system-settings 200 in 18ms (next.js: 2ms, proxy.ts: 10ms, application-code: 6ms)
 GET /api/system-settings 200 in 17ms (next.js: 2ms, proxy.ts: 7ms, application-code: 8ms)
 GET /ratings 200 in 1132ms (next.js: 914ms, proxy.ts: 5ms, application-code: 213ms)
 GET /api/system-settings 200 in 75ms (next.js: 55ms, proxy.ts: 12ms, application-code: 8ms)
 GET /api/system-settings 200 in 14ms (next.js: 2ms, proxy.ts: 7ms, application-code: 5ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/system-settings 200 in 15ms (next.js: 1855µs, proxy.ts: 5ms, application-code: 9ms)
 GET /view-as-test?member=7 200 in 74ms (next.js: 27ms, proxy.ts: 5ms, application-code: 42ms)
 GET /api/system-settings 200 in 15ms (next.js: 3ms, proxy.ts: 5ms, application-code: 7ms)
 GET /api/system-settings 200 in 44ms (next.js: 23ms, proxy.ts: 9ms, application-code: 12ms)
